Year,Month,Day,Hour,AirQualityStationEoICode,AirPollutant,Concentration
2013,2,19,0,CZ0TNUJ,PM10,26.0
2013,2,19,0,CZ0TNUJ,PM10,26.0
2013,2,20,0,CZ0TNUJ,PM10,32.0
2013,2,20,0,CZ0TNUJ,PM10,32.0
2013,2,21,0,CZ0TNUJ,PM10,85.0
2013,2,21,0,CZ0TNUJ,PM10,85.0
2013,2,22,0,CZ0TNUJ,PM10,96.0
2013,2,22,0,CZ0TNUJ,PM10,96.0
2013,2,23,0,CZ0TNUJ,PM10,132.0
2013,2,23,0,CZ0TNUJ,PM10,132.0
2013,2,24,0,CZ0TNUJ,PM10,77.0
2013,2,24,0,CZ0TNUJ,PM10,77.0
2013,2,25,0,CZ0TNUJ,PM10,106.0
2013,2,25,0,CZ0TNUJ,PM10,106.0
2013,2,26,0,CZ0TNUJ,PM10,34.0
2013,2,26,0,CZ0TNUJ,PM10,34.0
2013,2,27,0,CZ0TNUJ,PM10,68.0
2013,2,27,0,CZ0TNUJ,PM10,68.0
2013,2,28,0,CZ0TNUJ,PM10,102.0
2013,2,28,0,CZ0TNUJ,PM10,102.0
2013,3,1,0,CZ0TNUJ,PM10,28.0
2013,3,1,0,CZ0TNUJ,PM10,28.0
2013,3,2,0,CZ0TNUJ,PM10,41.0
2013,3,2,0,CZ0TNUJ,PM10,41.0
2013,3,3,0,CZ0TNUJ,PM10,31.0
2013,3,3,0,CZ0TNUJ,PM10,31.0
2013,3,4,0,CZ0TNUJ,PM10,49.0
2013,3,4,0,CZ0TNUJ,PM10,49.0
2013,3,5,0,CZ0TNUJ,PM10,20.0
2013,3,5,0,CZ0TNUJ,PM10,20.0
2013,3,6,0,CZ0TNUJ,PM10,25.0
2013,3,6,0,CZ0TNUJ,PM10,25.0
2013,3,7,0,CZ0TNUJ,PM10,39.0
2013,3,7,0,CZ0TNUJ,PM10,39.0
2013,3,8,0,CZ0TNUJ,PM10,70.0
2013,3,8,0,CZ0TNUJ,PM10,70.0
2013,3,9,0,CZ0TNUJ,PM10,84.0
2013,3,9,0,CZ0TNUJ,PM10,84.0
2013,3,10,0,CZ0TNUJ,PM10,87.0
2013,3,10,0,CZ0TNUJ,PM10,87.0
2013,3,11,0,CZ0TNUJ,PM10,67.0
2013,3,11,0,CZ0TNUJ,PM10,67.0
2013,3,12,0,CZ0TNUJ,PM10,99.0
2013,3,12,0,CZ0TNUJ,PM10,99.0
2013,3,13,0,CZ0TNUJ,PM10,105.0
2013,3,13,0,CZ0TNUJ,PM10,105.0
2013,3,14,0,CZ0TNUJ,PM10,53.0
2013,3,14,0,CZ0TNUJ,PM10,53.0
2013,3,15,0,CZ0TNUJ,PM10,33.0
2013,3,15,0,CZ0TNUJ,PM10,33.0
2013,3,16,0,CZ0TNUJ,PM10,62.0
2013,3,16,0,CZ0TNUJ,PM10,62.0
2013,3,17,0,CZ0TNUJ,PM10,24.0
2013,3,17,0,CZ0TNUJ,PM10,24.0
2013,3,18,0,CZ0TNUJ,PM10,15.0
2013,3,18,0,CZ0TNUJ,PM10,15.0
2013,3,19,0,CZ0TNUJ,PM10,18.0
2013,3,19,0,CZ0TNUJ,PM10,18.0
2013,3,20,0,CZ0TNUJ,PM10,39.0
2013,3,20,0,CZ0TNUJ,PM10,39.0
2013,3,21,0,CZ0TNUJ,PM10,45.0
2013,3,21,0,CZ0TNUJ,PM10,45.0
2013,3,22,0,CZ0TNUJ,PM10,43.0
2013,3,22,0,CZ0TNUJ,PM10,43.0
2013,3,23,0,CZ0TNUJ,PM10,47.0
2013,3,23,0,CZ0TNUJ,PM10,47.0
2013,3,24,0,CZ0TNUJ,PM10,45.0
2013,3,24,0,CZ0TNUJ,PM10,45.0
2013,3,25,0,CZ0TNUJ,PM10,25.0
2013,3,25,0,CZ0TNUJ,PM10,25.0
2013,3,26,0,CZ0TNUJ,PM10,25.0
2013,3,26,0,CZ0TNUJ,PM10,25.0
2013,3,27,0,CZ0TNUJ,PM10,41.0
2013,3,27,0,CZ0TNUJ,PM10,41.0
2013,3,28,0,CZ0TNUJ,PM10,28.0
2013,3,28,0,CZ0TNUJ,PM10,28.0
2013,3,29,0,CZ0TNUJ,PM10,25.0
2013,3,29,0,CZ0TNUJ,PM10,25.0
2013,3,30,0,CZ0TNUJ,PM10,65.0
2013,3,30,0,CZ0TNUJ,PM10,65.0
2013,3,31,0,CZ0TNUJ,PM10,31.0
2013,3,31,0,CZ0TNUJ,PM10,31.0
2013,4,1,0,CZ0TNUJ,PM10,41.0
2013,4,1,0,CZ0TNUJ,PM10,41.0
2013,4,2,0,CZ0TNUJ,PM10,49.0
2013,4,2,0,CZ0TNUJ,PM10,49.0
2013,4,3,0,CZ0TNUJ,PM10,30.0
2013,4,3,0,CZ0TNUJ,PM10,30.0
2013,4,4,0,CZ0TNUJ,PM10,71.0
2013,4,4,0,CZ0TNUJ,PM10,71.0
2013,4,5,0,CZ0TNUJ,PM10,99.0
2013,4,5,0,CZ0TNUJ,PM10,99.0
2013,4,6,0,CZ0TNUJ,PM10,72.0
2013,4,6,0,CZ0TNUJ,PM10,72.0
2013,4,7,0,CZ0TNUJ,PM10,60.0
2013,4,7,0,CZ0TNUJ,PM10,60.0
2013,4,8,0,CZ0TNUJ,PM10,55.0
2013,4,8,0,CZ0TNUJ,PM10,55.0
2013,4,9,0,CZ0TNUJ,PM10,50.0
2013,4,9,0,CZ0TNUJ,PM10,50.0
2013,4,10,0,CZ0TNUJ,PM10,22.0
2013,4,10,0,CZ0TNUJ,PM10,22.0
2013,4,11,0,CZ0TNUJ,PM10,15.0
2013,4,11,0,CZ0TNUJ,PM10,15.0
2013,4,12,0,CZ0TNUJ,PM10,16.0
2013,4,12,0,CZ0TNUJ,PM10,16.0
2013,4,13,0,CZ0TNUJ,PM10,18.0
2013,4,13,0,CZ0TNUJ,PM10,18.0
2013,4,14,0,CZ0TNUJ,PM10,27.0
2013,4,14,0,CZ0TNUJ,PM10,27.0
2013,4,15,0,CZ0TNUJ,PM10,30.0
2013,4,15,0,CZ0TNUJ,PM10,30.0
2013,4,16,0,CZ0TNUJ,PM10,25.0
2013,4,16,0,CZ0TNUJ,PM10,25.0
2013,4,17,0,CZ0TNUJ,PM10,32.0
2013,4,17,0,CZ0TNUJ,PM10,32.0
2013,4,18,0,CZ0TNUJ,PM10,27.0
2013,4,18,0,CZ0TNUJ,PM10,27.0
2013,4,19,0,CZ0TNUJ,PM10,48.0
2013,4,19,0,CZ0TNUJ,PM10,48.0
2013,4,20,0,CZ0TNUJ,PM10,49.0
2013,4,20,0,CZ0TNUJ,PM10,49.0
2013,4,21,0,CZ0TNUJ,PM10,24.0
2013,4,21,0,CZ0TNUJ,PM10,24.0
2013,4,22,0,CZ0TNUJ,PM10,39.0
2013,4,22,0,CZ0TNUJ,PM10,39.0
2013,4,23,0,CZ0TNUJ,PM10,40.0
2013,4,23,0,CZ0TNUJ,PM10,40.0
2013,4,24,0,CZ0TNUJ,PM10,35.0
2013,4,24,0,CZ0TNUJ,PM10,35.0
2013,4,25,0,CZ0TNUJ,PM10,35.0
2013,4,25,0,CZ0TNUJ,PM10,35.0
2013,4,26,0,CZ0TNUJ,PM10,30.0
2013,4,26,0,CZ0TNUJ,PM10,30.0
2013,4,27,0,CZ0TNUJ,PM10,37.0
2013,4,27,0,CZ0TNUJ,PM10,37.0
2013,4,28,0,CZ0TNUJ,PM10,28.0
2013,4,28,0,CZ0TNUJ,PM10,28.0
2013,4,29,0,CZ0TNUJ,PM10,34.0
2013,4,29,0,CZ0TNUJ,PM10,34.0
2013,4,30,0,CZ0TNUJ,PM10,48.0
2013,4,30,0,CZ0TNUJ,PM10,48.0
2013,5,1,0,CZ0TNUJ,PM10,40.0
2013,5,1,0,CZ0TNUJ,PM10,40.0
2013,5,2,0,CZ0TNUJ,PM10,27.0
2013,5,2,0,CZ0TNUJ,PM10,27.0
2013,5,3,0,CZ0TNUJ,PM10,14.0
2013,5,3,0,CZ0TNUJ,PM10,14.0
2013,5,4,0,CZ0TNUJ,PM10,25.0
2013,5,4,0,CZ0TNUJ,PM10,25.0
2013,5,5,0,CZ0TNUJ,PM10,28.0
2013,5,5,0,CZ0TNUJ,PM10,28.0
2013,5,6,0,CZ0TNUJ,PM10,24.0
2013,5,6,0,CZ0TNUJ,PM10,24.0
2013,5,7,0,CZ0TNUJ,PM10,16.0
2013,5,7,0,CZ0TNUJ,PM10,16.0
2013,5,8,0,CZ0TNUJ,PM10,20.0
2013,5,8,0,CZ0TNUJ,PM10,20.0
2013,5,9,0,CZ0TNUJ,PM10,25.0
2013,5,9,0,CZ0TNUJ,PM10,25.0
2013,5,10,0,CZ0TNUJ,PM10,20.0
2013,5,10,0,CZ0TNUJ,PM10,20.0
2013,5,11,0,CZ0TNUJ,PM10,7.0
2013,5,11,0,CZ0TNUJ,PM10,7.0
2013,5,12,0,CZ0TNUJ,PM10,10.0
2013,5,12,0,CZ0TNUJ,PM10,10.0
2013,5,13,0,CZ0TNUJ,PM10,16.0
2013,5,13,0,CZ0TNUJ,PM10,16.0
2013,5,14,0,CZ0TNUJ,PM10,19.0
2013,5,14,0,CZ0TNUJ,PM10,19.0
2013,5,15,0,CZ0TNUJ,PM10,19.0
2013,5,15,0,CZ0TNUJ,PM10,19.0
2013,5,16,0,CZ0TNUJ,PM10,16.0
2013,5,16,0,CZ0TNUJ,PM10,16.0
2013,5,17,0,CZ0TNUJ,PM10,24.0
2013,5,17,0,CZ0TNUJ,PM10,24.0
2013,5,18,0,CZ0TNUJ,PM10,11.0
2013,5,18,0,CZ0TNUJ,PM10,11.0
2013,5,19,0,CZ0TNUJ,PM10,17.0
2013,5,19,0,CZ0TNUJ,PM10,17.0
2013,5,20,0,CZ0TNUJ,PM10,11.0
2013,5,20,0,CZ0TNUJ,PM10,11.0
2013,5,21,0,CZ0TNUJ,PM10,11.0
2013,5,21,0,CZ0TNUJ,PM10,11.0
2013,5,22,0,CZ0TNUJ,PM10,12.0
2013,5,22,0,CZ0TNUJ,PM10,12.0
2013,5,23,0,CZ0TNUJ,PM10,24.0
2013,5,23,0,CZ0TNUJ,PM10,24.0
2013,5,24,0,CZ0TNUJ,PM10,29.0
2013,5,24,0,CZ0TNUJ,PM10,29.0
2013,5,25,0,CZ0TNUJ,PM10,15.0
2013,5,25,0,CZ0TNUJ,PM10,15.0
2013,5,26,0,CZ0TNUJ,PM10,9.0
2013,5,26,0,CZ0TNUJ,PM10,9.0
2013,5,27,0,CZ0TNUJ,PM10,8.0
2013,5,27,0,CZ0TNUJ,PM10,8.0
2013,5,28,0,CZ0TNUJ,PM10,11.0
2013,5,28,0,CZ0TNUJ,PM10,11.0
2013,5,29,0,CZ0TNUJ,PM10,15.0
2013,5,29,0,CZ0TNUJ,PM10,15.0
2013,5,30,0,CZ0TNUJ,PM10,16.0
2013,5,30,0,CZ0TNUJ,PM10,16.0
2013,5,31,0,CZ0TNUJ,PM10,12.0
2013,5,31,0,CZ0TNUJ,PM10,12.0
2013,6,1,0,CZ0TNUJ,PM10,13.0
2013,6,1,0,CZ0TNUJ,PM10,13.0
2013,6,2,0,CZ0TNUJ,PM10,11.0
2013,6,2,0,CZ0TNUJ,PM10,11.0
2013,6,3,0,CZ0TNUJ,PM10,5.0
2013,6,3,0,CZ0TNUJ,PM10,5.0
2013,6,4,0,CZ0TNUJ,PM10,8.0
2013,6,4,0,CZ0TNUJ,PM10,8.0
2013,6,5,0,CZ0TNUJ,PM10,17.0
2013,6,5,0,CZ0TNUJ,PM10,17.0
2013,6,6,0,CZ0TNUJ,PM10,29.0
2013,6,6,0,CZ0TNUJ,PM10,29.0
2013,6,7,0,CZ0TNUJ,PM10,27.0
2013,6,7,0,CZ0TNUJ,PM10,27.0
2013,6,8,0,CZ0TNUJ,PM10,32.0
2013,6,8,0,CZ0TNUJ,PM10,32.0
2013,6,9,0,CZ0TNUJ,PM10,13.0
2013,6,9,0,CZ0TNUJ,PM10,13.0
2013,6,10,0,CZ0TNUJ,PM10,12.0
2013,6,10,0,CZ0TNUJ,PM10,12.0
2013,6,11,0,CZ0TNUJ,PM10,10.0
2013,6,11,0,CZ0TNUJ,PM10,10.0
2013,6,12,0,CZ0TNUJ,PM10,14.0
2013,6,12,0,CZ0TNUJ,PM10,14.0
2013,6,13,0,CZ0TNUJ,PM10,19.0
2013,6,13,0,CZ0TNUJ,PM10,19.0
2013,6,14,0,CZ0TNUJ,PM10,18.0
2013,6,14,0,CZ0TNUJ,PM10,18.0
2013,6,15,0,CZ0TNUJ,PM10,24.0
2013,6,15,0,CZ0TNUJ,PM10,24.0
2013,6,16,0,CZ0TNUJ,PM10,13.0
2013,6,16,0,CZ0TNUJ,PM10,13.0
2013,6,17,0,CZ0TNUJ,PM10,25.0
2013,6,17,0,CZ0TNUJ,PM10,25.0
2013,6,18,0,CZ0TNUJ,PM10,28.0
2013,6,18,0,CZ0TNUJ,PM10,28.0
2013,6,19,0,CZ0TNUJ,PM10,38.0
2013,6,19,0,CZ0TNUJ,PM10,38.0
2013,6,20,0,CZ0TNUJ,PM10,32.0
2013,6,20,0,CZ0TNUJ,PM10,32.0
2013,6,21,0,CZ0TNUJ,PM10,29.0
2013,6,21,0,CZ0TNUJ,PM10,29.0
2013,6,22,0,CZ0TNUJ,PM10,29.0
2013,6,22,0,CZ0TNUJ,PM10,29.0
2013,6,23,0,CZ0TNUJ,PM10,24.0
2013,6,23,0,CZ0TNUJ,PM10,24.0
2013,6,24,0,CZ0TNUJ,PM10,14.0
2013,6,24,0,CZ0TNUJ,PM10,14.0
2013,6,25,0,CZ0TNUJ,PM10,2.0
2013,6,25,0,CZ0TNUJ,PM10,2.0
2013,6,26,0,CZ0TNUJ,PM10,10.0
2013,6,26,0,CZ0TNUJ,PM10,10.0
2013,6,27,0,CZ0TNUJ,PM10,19.0
2013,6,27,0,CZ0TNUJ,PM10,19.0
2013,6,28,0,CZ0TNUJ,PM10,21.0
2013,6,28,0,CZ0TNUJ,PM10,21.0
2013,6,29,0,CZ0TNUJ,PM10,26.0
2013,6,29,0,CZ0TNUJ,PM10,26.0
2013,6,30,0,CZ0TNUJ,PM10,15.0
2013,6,30,0,CZ0TNUJ,PM10,15.0
2013,7,1,0,CZ0TNUJ,PM10,18.0
2013,7,1,0,CZ0TNUJ,PM10,18.0
2013,7,2,0,CZ0TNUJ,PM10,21.0
2013,7,2,0,CZ0TNUJ,PM10,21.0
2013,7,9,0,CZ0TNUJ,PM10,25.0
2013,7,9,0,CZ0TNUJ,PM10,25.0
2013,7,10,0,CZ0TNUJ,PM10,31.0
2013,7,10,0,CZ0TNUJ,PM10,31.0
2013,7,11,0,CZ0TNUJ,PM10,12.0
2013,7,11,0,CZ0TNUJ,PM10,12.0
2013,7,12,0,CZ0TNUJ,PM10,10.0
2013,7,12,0,CZ0TNUJ,PM10,10.0
2013,7,13,0,CZ0TNUJ,PM10,12.0
2013,7,13,0,CZ0TNUJ,PM10,12.0
2013,7,14,0,CZ0TNUJ,PM10,17.0
2013,7,14,0,CZ0TNUJ,PM10,17.0
2013,7,15,0,CZ0TNUJ,PM10,15.0
2013,7,15,0,CZ0TNUJ,PM10,15.0
2013,7,16,0,CZ0TNUJ,PM10,20.0
2013,7,16,0,CZ0TNUJ,PM10,20.0
2013,7,17,0,CZ0TNUJ,PM10,24.0
2013,7,17,0,CZ0TNUJ,PM10,24.0
2013,7,18,0,CZ0TNUJ,PM10,28.0
2013,7,18,0,CZ0TNUJ,PM10,28.0
2013,7,19,0,CZ0TNUJ,PM10,24.0
2013,7,19,0,CZ0TNUJ,PM10,24.0
2013,7,20,0,CZ0TNUJ,PM10,18.0
2013,7,20,0,CZ0TNUJ,PM10,18.0
2013,7,21,0,CZ0TNUJ,PM10,13.0
2013,7,21,0,CZ0TNUJ,PM10,13.0
2013,7,22,0,CZ0TNUJ,PM10,22.0
2013,7,22,0,CZ0TNUJ,PM10,22.0
2013,7,23,0,CZ0TNUJ,PM10,24.0
2013,7,23,0,CZ0TNUJ,PM10,24.0
2013,7,24,0,CZ0TNUJ,PM10,23.0
2013,7,24,0,CZ0TNUJ,PM10,23.0
2013,7,25,0,CZ0TNUJ,PM10,30.0
2013,7,25,0,CZ0TNUJ,PM10,30.0
2013,7,26,0,CZ0TNUJ,PM10,25.0
2013,7,26,0,CZ0TNUJ,PM10,25.0
2013,7,27,0,CZ0TNUJ,PM10,27.0
2013,7,27,0,CZ0TNUJ,PM10,27.0
2013,7,28,0,CZ0TNUJ,PM10,34.0
2013,7,28,0,CZ0TNUJ,PM10,34.0
2013,7,29,0,CZ0TNUJ,PM10,30.0
2013,7,29,0,CZ0TNUJ,PM10,30.0
2013,7,30,0,CZ0TNUJ,PM10,16.0
2013,7,30,0,CZ0TNUJ,PM10,16.0
2013,7,31,0,CZ0TNUJ,PM10,15.0
2013,7,31,0,CZ0TNUJ,PM10,15.0
2013,8,1,0,CZ0TNUJ,PM10,19.0
2013,8,1,0,CZ0TNUJ,PM10,19.0
2013,8,2,0,CZ0TNUJ,PM10,24.0
2013,8,2,0,CZ0TNUJ,PM10,24.0
2013,8,3,0,CZ0TNUJ,PM10,26.0
2013,8,3,0,CZ0TNUJ,PM10,26.0
2013,8,4,0,CZ0TNUJ,PM10,19.0
2013,8,4,0,CZ0TNUJ,PM10,19.0
2013,8,5,0,CZ0TNUJ,PM10,17.0
2013,8,5,0,CZ0TNUJ,PM10,17.0
2013,8,6,0,CZ0TNUJ,PM10,28.0
2013,8,6,0,CZ0TNUJ,PM10,28.0
2013,8,7,0,CZ0TNUJ,PM10,28.0
2013,8,7,0,CZ0TNUJ,PM10,28.0
2013,8,8,0,CZ0TNUJ,PM10,35.0
2013,8,8,0,CZ0TNUJ,PM10,35.0
2013,8,9,0,CZ0TNUJ,PM10,24.0
2013,8,9,0,CZ0TNUJ,PM10,24.0
2013,8,10,0,CZ0TNUJ,PM10,12.0
2013,8,10,0,CZ0TNUJ,PM10,12.0
2013,8,11,0,CZ0TNUJ,PM10,16.0
2013,8,11,0,CZ0TNUJ,PM10,16.0
2013,8,12,0,CZ0TNUJ,PM10,18.0
2013,8,12,0,CZ0TNUJ,PM10,18.0
2013,8,13,0,CZ0TNUJ,PM10,16.0
2013,8,13,0,CZ0TNUJ,PM10,16.0
2013,8,14,0,CZ0TNUJ,PM10,21.0
2013,8,14,0,CZ0TNUJ,PM10,21.0
2013,8,15,0,CZ0TNUJ,PM10,17.0
2013,8,15,0,CZ0TNUJ,PM10,17.0
2013,8,16,0,CZ0TNUJ,PM10,23.0
2013,8,16,0,CZ0TNUJ,PM10,23.0
2013,8,17,0,CZ0TNUJ,PM10,23.0
2013,8,17,0,CZ0TNUJ,PM10,23.0
2013,8,18,0,CZ0TNUJ,PM10,20.0
2013,8,18,0,CZ0TNUJ,PM10,20.0
2013,8,19,0,CZ0TNUJ,PM10,21.0
2013,8,19,0,CZ0TNUJ,PM10,21.0
2013,8,20,0,CZ0TNUJ,PM10,16.0
2013,8,20,0,CZ0TNUJ,PM10,16.0
2013,8,21,0,CZ0TNUJ,PM10,18.0
2013,8,21,0,CZ0TNUJ,PM10,18.0
2013,8,22,0,CZ0TNUJ,PM10,21.0
2013,8,22,0,CZ0TNUJ,PM10,21.0
2013,8,23,0,CZ0TNUJ,PM10,22.0
2013,8,23,0,CZ0TNUJ,PM10,22.0
2013,8,24,0,CZ0TNUJ,PM10,21.0
2013,8,24,0,CZ0TNUJ,PM10,21.0
2013,8,25,0,CZ0TNUJ,PM10,16.0
2013,8,25,0,CZ0TNUJ,PM10,16.0
2013,8,26,0,CZ0TNUJ,PM10,19.0
2013,8,26,0,CZ0TNUJ,PM10,19.0
2013,8,27,0,CZ0TNUJ,PM10,23.0
2013,8,27,0,CZ0TNUJ,PM10,23.0
2013,8,28,0,CZ0TNUJ,PM10,29.0
2013,8,28,0,CZ0TNUJ,PM10,29.0
2013,8,29,0,CZ0TNUJ,PM10,23.0
2013,8,29,0,CZ0TNUJ,PM10,23.0
2013,8,30,0,CZ0TNUJ,PM10,25.0
2013,8,30,0,CZ0TNUJ,PM10,25.0
2013,8,31,0,CZ0TNUJ,PM10,23.0
2013,8,31,0,CZ0TNUJ,PM10,23.0
2013,9,1,0,CZ0TNUJ,PM10,13.0
2013,9,1,0,CZ0TNUJ,PM10,13.0
2013,9,2,0,CZ0TNUJ,PM10,8.0
2013,9,2,0,CZ0TNUJ,PM10,8.0
2013,9,3,0,CZ0TNUJ,PM10,13.0
2013,9,3,0,CZ0TNUJ,PM10,13.0
2013,9,4,0,CZ0TNUJ,PM10,20.0
2013,9,4,0,CZ0TNUJ,PM10,20.0
2013,9,5,0,CZ0TNUJ,PM10,22.0
2013,9,5,0,CZ0TNUJ,PM10,22.0
2013,9,6,0,CZ0TNUJ,PM10,17.0
2013,9,6,0,CZ0TNUJ,PM10,17.0
2013,9,7,0,CZ0TNUJ,PM10,22.0
2013,9,7,0,CZ0TNUJ,PM10,22.0
2013,9,8,0,CZ0TNUJ,PM10,21.0
2013,9,8,0,CZ0TNUJ,PM10,21.0
2013,9,9,0,CZ0TNUJ,PM10,16.0
2013,9,9,0,CZ0TNUJ,PM10,16.0
2013,9,10,0,CZ0TNUJ,PM10,12.0
2013,9,10,0,CZ0TNUJ,PM10,12.0
2013,9,11,0,CZ0TNUJ,PM10,10.0
2013,9,11,0,CZ0TNUJ,PM10,10.0
2013,9,12,0,CZ0TNUJ,PM10,15.0
2013,9,12,0,CZ0TNUJ,PM10,15.0
2013,9,13,0,CZ0TNUJ,PM10,12.0
2013,9,13,0,CZ0TNUJ,PM10,12.0
2013,9,14,0,CZ0TNUJ,PM10,14.0
2013,9,14,0,CZ0TNUJ,PM10,14.0
2013,9,15,0,CZ0TNUJ,PM10,11.0
2013,9,15,0,CZ0TNUJ,PM10,11.0
2013,9,16,0,CZ0TNUJ,PM10,11.0
2013,9,16,0,CZ0TNUJ,PM10,11.0
2013,9,17,0,CZ0TNUJ,PM10,11.0
2013,9,17,0,CZ0TNUJ,PM10,11.0
2013,9,18,0,CZ0TNUJ,PM10,9.0
2013,9,18,0,CZ0TNUJ,PM10,9.0
2013,9,19,0,CZ0TNUJ,PM10,19.0
2013,9,19,0,CZ0TNUJ,PM10,19.0
2013,9,20,0,CZ0TNUJ,PM10,17.0
2013,9,20,0,CZ0TNUJ,PM10,17.0
2013,9,21,0,CZ0TNUJ,PM10,26.0
2013,9,21,0,CZ0TNUJ,PM10,26.0
2013,9,22,0,CZ0TNUJ,PM10,18.0
2013,9,22,0,CZ0TNUJ,PM10,18.0
2013,9,23,0,CZ0TNUJ,PM10,8.0
2013,9,23,0,CZ0TNUJ,PM10,8.0
2013,9,24,0,CZ0TNUJ,PM10,15.0
2013,9,24,0,CZ0TNUJ,PM10,15.0
2013,9,25,0,CZ0TNUJ,PM10,21.0
2013,9,25,0,CZ0TNUJ,PM10,21.0
2013,9,26,0,CZ0TNUJ,PM10,18.0
2013,9,26,0,CZ0TNUJ,PM10,18.0
2013,9,27,0,CZ0TNUJ,PM10,24.0
2013,9,27,0,CZ0TNUJ,PM10,24.0
2013,9,28,0,CZ0TNUJ,PM10,33.0
2013,9,28,0,CZ0TNUJ,PM10,33.0
2013,9,29,0,CZ0TNUJ,PM10,30.0
2013,9,29,0,CZ0TNUJ,PM10,30.0
2013,9,30,0,CZ0TNUJ,PM10,30.0
2013,9,30,0,CZ0TNUJ,PM10,30.0
2013,10,1,0,CZ0TNUJ,PM10,24.0
2013,10,1,0,CZ0TNUJ,PM10,24.0
2013,10,2,0,CZ0TNUJ,PM10,23.0
2013,10,2,0,CZ0TNUJ,PM10,23.0
2013,10,3,0,CZ0TNUJ,PM10,23.0
2013,10,3,0,CZ0TNUJ,PM10,23.0
2013,10,4,0,CZ0TNUJ,PM10,31.0
2013,10,4,0,CZ0TNUJ,PM10,31.0
2013,10,5,0,CZ0TNUJ,PM10,23.0
2013,10,5,0,CZ0TNUJ,PM10,23.0
2013,10,6,0,CZ0TNUJ,PM10,39.0
2013,10,6,0,CZ0TNUJ,PM10,39.0
2013,10,7,0,CZ0TNUJ,PM10,61.0
2013,10,7,0,CZ0TNUJ,PM10,61.0
2013,10,8,0,CZ0TNUJ,PM10,45.0
2013,10,8,0,CZ0TNUJ,PM10,45.0
2013,10,9,0,CZ0TNUJ,PM10,41.0
2013,10,9,0,CZ0TNUJ,PM10,41.0
2013,10,10,0,CZ0TNUJ,PM10,30.0
2013,10,10,0,CZ0TNUJ,PM10,30.0
2013,10,11,0,CZ0TNUJ,PM10,23.0
2013,10,11,0,CZ0TNUJ,PM10,23.0
